smiles,ic50_nM
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,16500.0
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,20000.0
Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1,7100.0
c1ccc(-c2cnc(Nc3ccccn3)o2)cc1,1880.0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,10100.0
Cc1ccc(Nc2ncc(-c3ccccc3)s2)nc1,19.0
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,360.0
c1ccc(-c2cnc(Nc3cnccn3)s2)cc1,23.0
c1ccc(-c2cnc(Nc3cccnc3)s2)cc1,240.0
Cc1ccnc(Nc2ncc(-c3ccccc3)s2)c1,6.0
c1ccc(Nc2ncc(-c3ccccc3)s2)cc1,124.0
Cc1cccc(Nc2ncc(-c3ccccc3)s2)n1,10.0
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1O,1000.0
c1ccc(Nc2ncc(-c3ccccc3)o2)cc1,134.0
c1ccc(Oc2ccc(Nc3ncnc4ccccc34)cc2)cc1,2720.0
CC(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,430.0
O=C(Nc1ncc(-c2ccccc2)s1)c1ccccc1,81.0
c1ccc(-c2cnc(Nc3ccncn3)s2)cc1,36.0
Nc1ncnc2c1c(-c1ccccc1Oc1ccccc1)cn2C1CCCC1,50000.0
COc1cccnc1Nc1ncc(-c2ccccc2)s1,46.0
COc1ccnc(Nc2ncc(-c3ccccc3)s2)c1,11.0
Cc1cccnc1Nc1ncc(-c2ccccc2)s1,13.0
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,20000.0
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,2050.0
CCCCN(C)c1ccc(/N=N/c2ncc([N+](=O)[O-])s2)c(C)c1,151.0
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,3470.0
Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,20000.0
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,3460.0
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1,85.0
c1ccc(-c2cnc(Nc3ccccn3)s2)cc1,7.0
